date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,day_num,lag_4_high_low_diff,lag_4_open_close_diff,lag_4_volume,lag_4_adj_close,lag_5_high_low_diff,lag_5_open_close_diff,lag_5_volume,lag_5_adj_close,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,volume_mean,volume_std,adj_close_mean,adj_close_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2022-02-22,2022,2,22,1,0,0,-4.377,1156,0.271,-0.25,382500.0,3.46,0.35,0.06,253200.0,3.13,0.262,0.087,-0.022,0.142,357940.0,184220.962,3.27,0.191,1.681,-0.595,-0.823,-0.366,1.068,-0.126,0.506,0.155,1.616,-0.142,-0.973,-0.635,-1.569,-0.105,-0.052,0.732
2022-02-23,2022,2,23,1,0,0,-83.871,1157,0.23,0.0,241000.0,3.41,0.271,-0.25,382500.0,3.46,0.436,0.403,0.236,0.454,2101100.0,3915865.334,2.826,0.901,1.746,-0.066,-0.56,-0.61,1.771,-0.234,-0.608,-0.41,1.787,-0.369,-0.452,-0.491,-1.761,0.16,0.471,0.482
2022-02-24,2022,2,24,1,0,0,13.71,1158,0.19,0.05,178700.0,3.26,0.23,0.0,241000.0,3.41,0.454,0.394,0.202,0.482,2632500.0,3778199.077,2.392,1.058,-0.34,1.743,-0.114,-0.619,-0.773,1.74,-0.15,-0.503,0.07,1.711,-0.523,-0.609,-1.089,-1.089,0.546,0.811
2022-02-25,2022,2,25,1,0,0,-6.034,1159,0.21,-0.04,331800.0,3.25,0.19,0.05,178700.0,3.26,0.462,0.387,0.206,0.48,3076620.0,3540698.659,1.972,1.044,-0.599,-0.366,1.751,-0.136,-0.283,-0.783,1.737,-0.158,-0.191,-0.05,1.701,-0.684,-0.778,-0.701,-0.701,0.956
2022-02-28,2022,2,28,1,0,1,17.674,1160,0.409,0.13,655700.0,2.97,0.21,-0.04,331800.0,3.25,0.458,0.39,0.184,0.497,6373940.0,6653703.345,1.494,0.84,-0.684,-0.584,-0.353,1.747,-0.676,-0.229,-0.712,1.724,1.57,-0.597,-0.522,0.409,-0.755,-0.398,-0.302,-0.302
2022-03-01,2022,3,1,1,1,0,-2.138,1161,1.14,1.04,9098300.0,1.24,0.409,0.13,655700.0,2.97,0.404,0.417,0.161,0.502,7090280.0,6049543.212,1.068,0.201,-0.636,-0.511,-0.418,-0.202,-0.285,-0.624,-0.182,-0.659,-0.472,1.608,-0.775,-0.693,-1.125,-1.036,0.455,0.853
2022-03-02,2022,3,2,1,0,0,0.352,1162,0.32,-0.17,2898000.0,1.24,1.14,1.04,9098300.0,1.24,0.189,0.096,-0.047,0.107,5566320.0,6368586.035,0.991,0.193,-1.294,-0.522,0.021,0.428,0.414,0.61,-0.975,1.095,-0.642,-0.209,1.767,-0.497,-0.715,-0.772,-0.679,0.876
2022-03-03,2022,3,3,1,0,0,-8.794,1163,0.23,0.07,2399300.0,1.16,0.32,-0.17,2898000.0,1.24,0.149,0.064,0.001,0.091,5364560.0,6489092.709,0.902,0.146,-0.454,-1.315,-0.157,0.657,0.761,-0.039,0.191,-1.674,-0.536,-0.599,-0.174,1.765,-0.726,-0.336,-0.412,-0.289
2022-03-04,2022,3,4,1,0,0,-1.299,1164,0.191,-0.152,16818400.0,0.86,0.23,0.07,2399300.0,1.16,0.113,0.057,-0.011,0.083,5166460.0,6616123.279,0.824,0.039,-1.102,0.122,-0.839,0.455,0.257,0.977,0.101,0.353,-0.568,-0.495,-0.557,-0.14,-1.381,-0.719,0.734,0.454
2022-03-07,2022,3,7,1,0,0,-20.827,1165,0.139,0.018,4237400.0,0.842,0.191,-0.152,16818400.0,0.86,0.108,0.05,0.045,0.055,2802380.0,1688834.714,0.778,0.09,1.197,-1.173,0.233,-0.872,1.549,-0.635,0.448,-0.87,1.3,-0.825,-0.541,-0.784,-1.658,-0.089,0.2,0.834
